CustomerID,Lookalikes
C0001,"[('C0011', 0.9864086867552642), ('C0003', 0.9554442059718257), ('C0006', 0.9550496043142768)]"
C0002,"[('C0005', 0.9844903240338705), ('C0007', 0.9803708026239724), ('C0014', 0.07798634302620841)]"
C0003,"[('C0001', 0.9554442059718257), ('C0011', 0.9305010400460084), ('C0006', 0.8457780743638518)]"
C0004,"[('C0012', 0.98029833401334), ('C0013', 0.9465815010543066), ('C0011', 0.7452432515341656)]"
C0005,"[('C0007', 0.9917867491065909), ('C0002', 0.9844903240338705), ('C0014', 0.14568417500856612)]"
C0006,"[('C0011', 0.9817686237727746), ('C0001', 0.9550496043142768), ('C0012', 0.8475143748597791)]"
C0007,"[('C0005', 0.9917867491065909), ('C0002', 0.9803708026239724), ('C0014', 0.053203499798802095)]"
C0008,"[('C0018', 0.9837833090918365), ('C0016', 0.7603924363779669), ('C0004', 0.25624183670009637)]"
C0009,"[('C0014', 0.9954198818317903), ('C0019', 0.8514585928414949), ('C0010', 0.8413696036586452)]"
C0010,"[('C0019', 0.9891094107565053), ('C0009', 0.8413696036586452), ('C0014', 0.8131887161224426)]"
C0011,"[('C0001', 0.9864086867552642), ('C0006', 0.9817686237727746), ('C0003', 0.9305010400460084)]"
C0012,"[('C0013', 0.9841009184834822), ('C0004', 0.98029833401334), ('C0006', 0.8475143748597791)]"
C0013,"[('C0012', 0.9841009184834822), ('C0004', 0.9465815010543066), ('C0006', 0.8452774227430636)]"
C0014,"[('C0009', 0.9954198818317903), ('C0010', 0.8131887161224426), ('C0019', 0.8128012590987456)]"
C0015,"[('C0020', 0.9983253604886234), ('C0016', 0.7013478574168344), ('C0014', 0.3393968427388128)]"
C0016,"[('C0018', 0.8210882514337794), ('C0008', 0.7603924363779669), ('C0015', 0.7013478574168344)]"
C0017,"[('C0019', 0.5811227590432606), ('C0010', 0.5492312456939206), ('C0004', 0.33113006222014835)]"
C0018,"[('C0008', 0.9837833090918365), ('C0016', 0.8210882514337794), ('C0015', 0.24345695529527106)]"
C0019,"[('C0010', 0.9891094107565053), ('C0009', 0.8514585928414949), ('C0014', 0.8128012590987456)]"
C0020,"[('C0015', 0.9983253604886234), ('C0016', 0.662354489678254), ('C0014', 0.3796249724577762)]"
